path,area,ext,lines,audit_mechanism,status
docs/tsotchke-license-drafts/MIT-LICENSE.txt,docs/tsotchke-license-drafts,.txt,22,enumerated,accounted-for
docs/tsotchke-license-drafts/NOTICE-logo-lab.txt,docs/tsotchke-license-drafts,.txt,12,enumerated,accounted-for
docs/tsotchke-license-drafts/README.md,docs/tsotchke-license-drafts,.md,33,doc-consistency agent + verify:facts (0 drift),audited (date-current)
index.html,(root),.html,1224,front-end agent + verify:facts,audited (dead links fixed)
lab/quantum-wildbeyond.html,lab,.html,3863,front-end agent + verify:facts,audited (dead links fixed)
legacy/cosmogonic-quantum-mechalogodrom.html,legacy,.html,882,preserved-verbatim (CLAUDE.md law),out-of-scope
legacy/opus-4.7-origin/CLAUDE-CHAT-HISTORY-PERSONAL-ACCOUNT.md,legacy/opus-4.7-origin,.md,570,preserved-verbatim (CLAUDE.md law),out-of-scope
legacy/opus-4.7-origin/CLAUDE-OPUS-4.7-DEVELOPMENT-HISTORY.md,legacy/opus-4.7-origin,.md,459,preserved-verbatim (CLAUDE.md law),out-of-scope
legacy/opus-4.7-origin/Cosmogonic Claude History Personal.docx,legacy/opus-4.7-origin,.docx,64,preserved-verbatim (CLAUDE.md law),out-of-scope
legacy/opus-4.7-origin/GIT-HISTORY.txt,legacy/opus-4.7-origin,.txt,63,preserved-verbatim (CLAUDE.md law),out-of-scope
legacy/opus-4.7-origin/PROVENANCE.md,legacy/opus-4.7-origin,.md,38,preserved-verbatim (CLAUDE.md law),out-of-scope
legacy/opus-4.7-origin/README-original.md,legacy/opus-4.7-origin,.md,29,preserved-verbatim (CLAUDE.md law),out-of-scope
masters/GALAXOGONIC-WARHAMMER-POWER-MODE-DR-MANHATTAN.xml,masters,.xml,167,steering agent,audited-clean (well-formed)
masters/LEGENDARY-SUPER-SAIYAN-BROLY-MANIFESTO.xml,masters,.xml,141,steering agent,audited-clean (well-formed)
masters/ORACLE-ARCHITECT-OF-THE-DARKSIDE-STARKILLER.xml,masters,.xml,173,steering agent,audited-clean (well-formed)
native/CMakeLists.txt,native,.txt,131,C++ engine agent,audited-clean (no UB/leak)
native/README.md,native,.md,77,C++ engine agent,audited-clean (no UB/leak)
native/build.ps1,native,.ps1,28,C++ engine agent,audited-clean (no UB/leak)
native/src/gl_core.cpp,native/src,.cpp,18,C++ engine agent,audited-clean (no UB/leak)
native/src/gl_core.h,native/src,.h,138,C++ engine agent,audited-clean (no UB/leak)
native/src/main.cpp,native/src,.cpp,346,C++ engine agent,audited-clean (no UB/leak)
native/src/physics.h,native/src,.h,176,C++ engine agent,audited-clean (no UB/leak)
native/src/physics_jolt.h,native/src,.h,286,C++ engine agent,audited-clean (no UB/leak)
native/src/shaders.h,native/src,.h,338,C++ engine agent,audited-clean (no UB/leak)
package.json,(root),.json,61,config agent,audited (tsconfig exclude removed)
research_receipts-2026-06-26.md,(root),.md,138,doc-consistency agent + verify:facts (0 drift),audited (date-current)
scripts/alife-codeground-sensitivity.ts,scripts,.ts,214,scripts/tooling agents,audited (CI gap fixed)
scripts/alife-comparison-geometry.ts,scripts,.ts,772,scripts/tooling agents,audited (CI gap fixed)
scripts/alife-comparison-stats.ts,scripts,.ts,445,scripts/tooling agents,audited (CI gap fixed)
scripts/bmp2png.ts,scripts,.ts,93,scripts/tooling agents,audited (CI gap fixed)
scripts/build-pages.ts,scripts,.ts,70,scripts/tooling agents,audited (CI gap fixed)
scripts/build.ts,scripts,.ts,26,scripts/tooling agents,audited (CI gap fixed)
scripts/canonical-receipts.ts,scripts,.ts,26,scripts/tooling agents,audited (CI gap fixed)
scripts/codebase-metrics.ts,scripts,.ts,129,scripts/tooling agents,audited (CI gap fixed)
scripts/decode-capture.ts,scripts,.ts,23,scripts/tooling agents,audited (CI gap fixed)
scripts/gen-filemap.ts,scripts,.ts,53,scripts/tooling agents,audited (CI gap fixed)
scripts/harvest-tsotchke-corpus.ts,scripts,.ts,130,scripts/tooling agents,audited (CI gap fixed)
scripts/launch-oppengrok.ps1,scripts,.ps1,489,scripts/tooling agents,audited (CI gap fixed)
scripts/normalize-docs.ts,scripts,.ts,177,scripts/tooling agents,audited (CI gap fixed)
scripts/p1-quantum-classical-experiment.ts,scripts,.ts,180,scripts/tooling agents,audited (CI gap fixed)
scripts/sbom.ts,scripts,.ts,85,scripts/tooling agents,audited (CI gap fixed)
scripts/sync-surfaces.ts,scripts,.ts,194,scripts/tooling agents,audited (CI gap fixed)
scripts/verify-canonical-facts.ts,scripts,.ts,146,scripts/tooling agents,audited (CI gap fixed)
scripts/verify-receipts.ts,scripts,.ts,113,scripts/tooling agents,audited (CI gap fixed)
server.ts,(root),.ts,484,subsystems agent (security),audited-clean (hardened)
specs.html,(root),.html,1019,front-end agent + verify:facts,audited (dead links fixed)
src/audio/analysis.ts,src/audio,.ts,157,subsystems/front-end agent,audited-clean
src/audio/engine.ts,src/audio,.ts,659,subsystems/front-end agent,audited-clean
src/audio/songs.ts,src/audio,.ts,492,subsystems/front-end agent,audited-clean
src/core/engine.ts,src/core,.ts,282,subsystems/front-end agent,audited-clean
src/core/frame-governor.ts,src/core,.ts,158,subsystems/front-end agent,audited-clean
src/core/postfx.ts,src/core,.ts,201,subsystems/front-end agent,audited-clean
src/core/quality.ts,src/core,.ts,140,subsystems/front-end agent,audited-clean
src/docs-page.ts,src,.ts,171,subsystems/front-end agent,audited-clean
src/logging/audit.ts,src/logging,.ts,156,subsystems/front-end agent,audited-clean
src/logging/logger.ts,src/logging,.ts,65,subsystems/front-end agent,audited-clean
src/main.ts,src,.ts,178,subsystems/front-end agent,audited-clean
src/math/belief-propagation.ts,src/math,.ts,152,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/clifford-tableau.ts,src/math,.ts,351,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/curvature-aware-qng.ts,src/math,.ts,359,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/dual.ts,src/math,.ts,67,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/eshkol-ad.ts,src/math,.ts,533,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/eshkol-qrng.ts,src/math,.ts,370,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/games.ts,src/math,.ts,254,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/global-workspace.ts,src/math,.ts,193,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/heap.ts,src/math,.ts,175,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/hopfield.ts,src/math,.ts,120,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/hyperdual.ts,src/math,.ts,131,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/irrep.ts,src/math,.ts,281,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/izhikevich.ts,src/math,.ts,100,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/libirrep-symmetry.ts,src/math,.ts,143,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/mixed-state-qgt.ts,src/math,.ts,256,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/mps-svd.ts,src/math,.ts,217,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/predictive-coding.ts,src/math,.ts,140,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/quantum-coherence.ts,src/math,.ts,60,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/quantum-geometry.ts,src/math,.ts,188,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/quantum-magic.ts,src/math,.ts,110,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/quantum-natural-gradient.ts,src/math,.ts,148,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/quantum-qrng-full.ts,src/math,.ts,157,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/quantum.ts,src/math,.ts,441,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/rng-stats.ts,src/math,.ts,284,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/rng.ts,src/math,.ts,44,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/scalar.ts,src/math,.ts,67,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/schrodinger.ts,src/math,.ts,169,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/so3.ts,src/math,.ts,227,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/spatial-hash.ts,src/math,.ts,96,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/math/unification.ts,src/math,.ts,134,7-agent code pass + invariant sweep + quantum-math agent,audited (irrep j>=7 fixed)
src/memory/store.ts,src/memory,.ts,175,subsystems/front-end agent,audited-clean
src/server/ai-sandbox.ts,src/server,.ts,523,subsystems/front-end agent,audited-clean
src/server/copilot.ts,src/server,.ts,583,subsystems/front-end agent,audited-clean
src/server/web-search.ts,src/server,.ts,164,subsystems/front-end agent,audited-clean
src/sim/active-inference.ts,src/sim,.ts,255,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/ai/brains.ts,src/sim/ai,.ts,399,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/algorithms.ts,src/sim,.ts,447,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/analytics.ts,src/sim,.ts,217,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/artifacts.ts,src/sim,.ts,183,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/asteroids-physics.ts,src/sim,.ts,52,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/atmosphere.ts,src/sim,.ts,438,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/attention-controller.ts,src/sim,.ts,258,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/attention-schema.ts,src/sim,.ts,86,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/behaviors.ts,src/sim,.ts,476,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/brutal-god-releases.ts,src/sim,.ts,305,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/causal-graph.ts,src/sim,.ts,206,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/chaos-field.ts,src/sim,.ts,247,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/classical-contrast.ts,src/sim,.ts,256,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/cognition.ts,src/sim,.ts,79,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/connectome.ts,src/sim,.ts,247,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/constants.ts,src/sim,.ts,396,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/constellations.ts,src/sim,.ts,185,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/corpus-audit-receipts.ts,src/sim,.ts,38,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/cosmic-web.ts,src/sim,.ts,93,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/coupling-audit.ts,src/sim,.ts,216,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/criticality.ts,src/sim,.ts,113,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/dark-energy.ts,src/sim,.ts,149,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/digital-biologics.ts,src/sim,.ts,356,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/economy.ts,src/sim,.ts,617,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/emergence-angles.ts,src/sim,.ts,695,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/emergent-language.ts,src/sim,.ts,328,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/empowerment.ts,src/sim,.ts,303,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/entities.ts,src/sim,.ts,605,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/entity-brain.ts,src/sim,.ts,119,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/environment.ts,src/sim,.ts,715,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/eshkol-bridge.ts,src/sim,.ts,376,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/eshkol-cognition.ts,src/sim,.ts,85,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/eshkol-vm.ts,src/sim,.ts,160,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/eshkol-workspace.ts,src/sim,.ts,116,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/factions.ts,src/sim,.ts,294,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/faculties-pantheon.ts,src/sim,.ts,333,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/generated-tsotchke-seeds.ts,src/sim,.ts,43,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/genome.ts,src/sim,.ts,187,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/geometry-cache.ts,src/sim,.ts,113,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/godform.ts,src/sim,.ts,279,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/gold-lattice.ts,src/sim,.ts,64,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/graph-mind.ts,src/sim,.ts,193,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/holographic-memory.ts,src/sim,.ts,483,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
src/sim/homebrew-eshkol.ts,src/sim,.ts,44,invariant sweep + math/sim agents,audited (4 MED + Bloch fixed)
